"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"Jan 2025",32000,31692.0796421396,32307.9203578604,31529.0764509685,32470.9235490315
"Feb 2025",30900,30464.534853783,31335.465146217,30234.0135301188,31565.9864698812
"Mar 2025",35100,34566.6662955009,35633.3337044991,34284.3364865968,35915.6635134032
"Apr 2025",37700,37084.1592842791,38315.8407157209,36758.152901937,38641.847098063
"May 2025",40000,39311.469148168,40688.530851832,38946.9829321601,41053.0170678399
"Jun 2025",42400,41645.7522418267,43154.2477581733,41246.4775970123,43553.5224029877
"Jul 2025",44300,43485.3193094873,45114.6806905127,43054.0534027387,45545.9465972613
"Aug 2025",42000,41129.069707566,42870.930292434,40668.0270602376,43331.9729397624
"Sep 2025",38500,37576.2389264187,39423.7610735813,37087.2293529055,39912.7706470945
"Oct 2025",37600,36626.2703312269,38573.7296687731,36110.8089812505,39089.1910187495
"Nov 2025",36000,34978.743707665,37021.256292335,34438.12328292,37561.87671708
"Dec 2025",40800,39733.3325910019,41866.6674089981,39168.6729731936,42431.3270268064
